epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.658,0.7314,86.5506,0.71449,0,0,0,0,1.69652,162.091,1.65538,0.00058,0.00058,0.00058
2,402.885,1.35076,61.7334,1.1794,3e-05,0.33333,2e-05,1e-05,1.37909,74.2988,2.05357,0.00115664,0.00115664,0.00115664
3,597.919,0.93003,52.3035,0.79908,3e-05,0.33333,2e-05,1e-05,1.61149,57.1937,2.64421,0.00170951,0.00170951,0.00170951
4,806.142,1.02316,43.6913,0.85066,3e-05,0.33333,7e-05,2e-05,1.65153,54.8734,2.49357,0.0018812,0.0018812,0.0018812
5,1003.66,1.77446,26.2031,1.5675,6e-05,0.66667,6e-05,2e-05,1.51376,39.0753,1.33344,0.0018416,0.0018416,0.0018416
6,1207.03,0.9612,26.6696,0.75739,6e-05,0.66667,0.0001,3e-05,1.60704,2948.92,1.29189,0.001802,0.001802,0.001802
7,1410.22,1.3929,19.3391,1.18341,4e-05,0.33333,6e-05,1e-05,1.40521,52.1931,1.16085,0.0017624,0.0017624,0.0017624
8,1614.9,0.66871,15.1019,0.5887,0,0,0,0,2.43535,137.181,23.1826,0.0017228,0.0017228,0.0017228
9,1826.6,0.62987,10.7333,0.5883,0,0,0,0,1.72799,24.8039,1.56286,0.0016832,0.0016832,0.0016832
10,2042.68,1.28019,7.91415,1.06557,0,0,0,0,1.8147,63.8064,1.39491,0.0016436,0.0016436,0.0016436
11,2257.17,0.99845,6.0225,0.87707,0,0,0,0,1.81357,8.12028,1.44327,0.001604,0.001604,0.001604
12,2474.78,0.95753,4.885,0.74868,0,0,0,0,1.91532,6.13727,1.75376,0.0015644,0.0015644,0.0015644
13,2686.66,1.68031,4.17562,1.37893,0,0,0,0,2.14654,5.83916,14.4348,0.0015248,0.0015248,0.0015248
14,2910.82,0.89372,3.40411,0.74951,0,0,0,0,2.09454,5.09747,1.97047,0.0014852,0.0014852,0.0014852
15,3112.66,0.61683,2.32213,0.47876,0,0,0,0,1.98733,4.29692,1.72125,0.0014456,0.0014456,0.0014456
16,3315.93,1.04373,2.75498,0.96981,0,0,0,0,1.9248,4.08049,1.60345,0.001406,0.001406,0.001406
17,3553.05,1.19504,2.81025,1.07213,0,0,0,0,1.69436,3.89381,1.23489,0.0013664,0.0013664,0.0013664
18,3762.26,1.79242,3.44407,1.50751,0,0,0,0,1.70487,4.06536,1.70816,0.0013268,0.0013268,0.0013268
19,3964.26,0.92997,2.08073,0.68366,0,0,0,0,1.30988,3.6287,1.18648,0.0012872,0.0012872,0.0012872
20,4168.87,0.9823,2.03094,0.82808,0,0,0,0,1.55083,3.68568,1.35813,0.0012476,0.0012476,0.0012476
21,4367.63,1.22598,2.47943,0.95514,0,0,0,0,1.55767,3.83525,1.36208,0.001208,0.001208,0.001208
22,4565.09,1.27694,2.45426,1.08805,0,0,0,0,1.55784,3.61125,1.44175,0.0011684,0.0011684,0.0011684
23,4765.61,0.98435,2.15701,0.82512,0,0,0,0,1.43737,3.67542,1.26093,0.0011288,0.0011288,0.0011288
24,4963.56,0.71283,1.75003,0.61129,0,0,0,0,1.75458,3.45566,1.48424,0.0010892,0.0010892,0.0010892
25,5157.29,0.85433,1.57278,0.74428,0,0,0,0,1.66996,3.34138,1.39023,0.0010496,0.0010496,0.0010496
26,5352.39,1.2873,2.61095,1.11632,0,0,0,0,1.69385,3.30331,1.38849,0.00101,0.00101,0.00101
